,UserID,ScreenName,Party,BotScore
4,1011937197627400192,MVVSNYSRCP,Congress,0.7409598586102422
23,89438196,kedarnkulkarni,Congress,0.0825396626774012
39,798168007,HemantSehrawat8,Congress,0.08899515596679244
41,1012747092475940864,MyNation,Congress,0.28378247513569405
45,705337851202789376,YAD_Muktsar,Congress,0.3551862170861128
54,2327465059,MaruthiRajanna,Congress,0.15881746424200632
63,537517995,kamLi_021,Congress,0.19466773728450495
70,45515970,abhitryst,Congress,0.0825396626774012
74,3492168852,balraj_bhathal,Congress,0.1701324265302999
76,832925586,gauravsharda6,Congress,0.1285158337598371
80,742211562,SakshiPost,Congress,0.25152334764543
81,907825945,WeDeeptiSumit,Congress,0.07089257330076087
82,1067857808,Aryanwarlord,Congress,0.10328573467123618
83,2671845032,NationFirst4me,Congress,0.15881746424200632
88,93143529,optimistsurgeon,Congress,0.0825396626774012
91,94467235,AbjinderSangha,Congress,0.04811366570775446
92,928920153059815424,pallavipriya_,Congress,0.13802618960216584
93,47637268,AlphaaaWolf,Congress,0.0825396626774012
97,739654739575635969,thakur_niki06,Congress,0.10328573467123618
99,94363205,gpgyanp,Congress,0.06565556198004287
101,1862303136,mulayanup1,Congress,0.25152334764543
104,304936920,Harsh4Uever,Congress,0.11116719108518804
105,1052998920387739648,DesiManOriginal,Congress,0.13802618960216584
108,4762814339,MeKiranHP,Congress,0.07089257330076087
110,3073369844,veerbahadur086,Congress,0.11956986651967942
124,320982605,smrysrcongress,Congress,0.09590276214117437
139,1274104723,SubhalakshmiN,Congress,0.15881746424200632
148,506204724,edisonresearch,Congress,0.3184188561317807
150,702591893486460928,Tight_Slapz,Congress,0.05624491210051878
158,117465416,missingvoice,Congress,0.05624491210051878
174,314579793,Mirchi9,Congress,0.09590276214117437
179,703552657953157120,AkaliDalSangrur,Congress,0.393746460000491
180,703530436828368897,AkaliDalMansa,Congress,0.6908019160064479
192,215963606,AshokBansal1700,Congress,0.07651310672792835
204,68927629,moneycontrolcom,Congress,0.06078011352084069
206,410070031,faizan_kidwai,Congress,0.08899515596679244
207,908965886781923328,THEPANIPURI,Congress,0.300816711527256
225,837501169,ragnisah,Congress,0.05624491210051878
228,2461019958,Umashankar0007,Congress,0.11116719108518804
236,17892599,PrabhuGuptara,Congress,0.11956986651967942
239,705285121365049344,YAD_Bathinda,Congress,0.7409598586102422
240,705330123717763072,YAD_Jalandhar,Congress,0.300816711527256
245,944194583780515842,VijayRamdoss_,Congress,0.07089257330076087
255,4687156214,PollticsS,Congress,0.5565870373496533
274,746577718461009920,klapboardpost,Congress,0.18207903130928815
280,559652727,PKashwan,Congress,0.1285158337598371
285,152208116,simbasinghamzi,Congress,NA
289,276471936,FernandezSDkhar,Congress,0.0825396626774012
323,9909452,vipulananda,Congress,0.22179568769021463
324,40673794,MANJULtoons,Congress,0.037980136466376074
326,465102937,ramchandani2000,Congress,0.26734400306340506
338,3133990387,Jainpankajkasan,Congress,0.04811366570775446
339,930875832528015360,Gourab766,Congress,0.15881746424200632
341,137938841,TheKronik969,Congress,0.18207903130928815
345,168000112,vharitha17,Congress,0.06565556198004287
349,909327080696844290,chetna_keer,Congress,0.22179568769021463
352,396930405,DanaB321,Congress,0.300816711527256
353,1078158417057832960,AppachuSantosh,Congress,0.14812070832967303
369,2379466449,WeWantRahul,Congress,0.07651310672792835
370,327818415,irajeshpurohit,Congress,0.07651310672792835
374,995685393214271488,HarshSi45712498,Congress,0.300816711527256
375,1437656672,vijayprakashu8,Congress,0.3184188561317807
376,1037639218120601600,poria_rohit,Congress,0.33655519548719853
378,745650648763379713,haritcn,Congress,0.08899515596679244
381,2931596623,shantanu9759,Congress,0.08899515596679244
382,922725522521460736,ElectionFeverIn,Congress,0.6164280626387617
383,3310523556,adhi_anecdotes,Congress,0.19466773728450495
393,58720552,arshpath,Congress,0.11956986651967942
394,68483831,imridul2k,Congress,0.14812070832967303
397,19584103,mathrubhumi,Congress,0.1285158337598371
399,2188054226,KyasapuraS,Congress,0.3551862170861128
404,2297673350,Vijayhema87,Congress,0.15881746424200632
407,460166683,AnkitTiwari_Ji,Congress,0.28378247513569405
408,562731699,MidnightReportr,Congress,0.13802618960216584
411,2371728061,NareshMendon,Congress,0.22179568769021463
412,152564860,SriDeepak,Congress,0.0825396626774012
414,943627008763879424,SanthoshWorker,Congress,0.0825396626774012
417,470170510,dk7979dk,Congress,0.8762045479593887
427,746410204216987648,laxman_xy,Congress,0.3551862170861128
429,100465543,thesushant,Congress,0.05624491210051878
437,4820859942,NeginhalN,Congress,0.06565556198004287
440,846764798931095556,NikPatel2905199,Congress,0.33655519548719853
444,92278282,AarusheJaswall,Congress,0.04811366570775446
446,1081833137934462976,Chandan08595413,Congress,0.6908019160064479
454,743851884016975874,forexmayhem,Congress,0.06565556198004287
455,702753947744735233,mebhavinpatel,Congress,0.09590276214117437
458,52309185,Rajkumaarsingh,Congress,0.0825396626774012
469,2154253520,sbajpai2806,Congress,0.06565556198004287
471,523058646,ajay_player,Congress,0.19466773728450495
474,1394079906,sbajpai2811,Congress,0.11956986651967942
479,84823082,kumarmanish9,Congress,0.05202936550695904
480,428907946,Ashtripathi13,Congress,0.15881746424200632
481,3419496855,officeofssbadal,Congress,0.027614042942260764
482,1075289179360247808,RaiRamanatha,Congress,0.13802618960216584
483,3419800217,HarsimratBadal_,Congress,0.041106740219567735
490,161631977,sudhirbharg,Congress,0.08899515596679244
491,22749722,srijanapiya17,Congress,0.0825396626774012
495,151321273,DrAditya_IITBHU,Congress,0.19466773728450495
500,759734072587395074,NEWSatConnexio,Congress,0.300816711527256
505,75054768,gsubhaslic,Congress,0.1701324265302999
520,1005314447945023488,chaudha82598240,Congress,0.26734400306340506
523,3157135855,meinincubator,Congress,NA
526,120352830,ranajournalist,Congress,0.5768086562548855
527,3887670433,iamproud_Hindu,Congress,0.07651310672792835
531,3333998293,RanjitSMand,Congress,0.28378247513569405
538,2231200632,NewsHourIndia,Congress,0.041106740219567735
544,842587116693569536,Vinubha48672724,Congress,0.28378247513569405
546,571367150,JAIRISHDOUGLAS,Congress,0.19466773728450495
550,1026831178148368384,indianbravehea1,Congress,0.11956986651967942
553,50245891,rajnesh_naidu,Congress,0.05202936550695904
555,113827250,KartavyaJadaun,Congress,0.10328573467123618
558,493059410,scribe_prashant,Congress,0.06078011352084069
559,386495373,abhjoshi,Congress,0.11116719108518804
566,172690763,deepeshrwt,Congress,0.06565556198004287
568,287044162,Ankur_tiwari2,Congress,0.08899515596679244
578,2476687040,mujaddadisalman,Congress,0.05624491210051878
579,235179462,p_jaikumar,Congress,0.18207903130928815
595,4218161020,AnonymousMe978,Congress,0.15881746424200632
597,707936977157402625,dbpostnews,Congress,0.6908019160064479
598,818498562774487042,sanjivarjungaur,Congress,0.08899515596679244
603,1666873268,56perumal,Congress,0.393746460000491
609,2858195132,sanjay_vandna,Congress,0.07651310672792835
613,108573737,thakerbhavik,Congress,0.5156433305312286
616,4916229882,biharpostPatna,Congress,0.7081126267613624
619,414946220,scroll_in,Congress,0.032398754737074244
622,1055279328,karticsm,Congress,0.037980136466376074
630,114291325,Eftekharahamed,Congress,0.14812070832967303
633,1289431818,Nguptaprakash,Congress,0.1285158337598371
635,48683463,PITCHBOSS,Congress,0.11116719108518804
646,89436141,iamshakti93,Congress,0.13802618960216584
647,2455240921,MatthamRamesh,Congress,0.04811366570775446
654,883280792066990080,CIVILIZEDPPL,Congress,0.23633691139538376
656,2890485468,sayyad_arshi,Congress,0.04447883217419818
659,47083884,SandipGhose,Congress,0.07651310672792835
663,282496966,docruchir,Congress,0.041106740219567735
672,96569017,sunandnr,Congress,0.10328573467123618
673,1073465751523086336,Prabhat93078075,Congress,0.06078011352084069
682,391244658,AazaadSatyam,Congress,0.15881746424200632
690,2960397948,T_Jenish21,Congress,0.10328573467123618
698,52318808,naaziraqui,Congress,0.09590276214117437
699,782780522,TripathySubrat,Congress,0.06078011352084069
704,855298061215481858,Dmind25,Congress,0.2079055732880228
705,73109469,ambuj1tripathi,Congress,0.0825396626774012
709,1755278143,Kalki_108,Congress,0.14812070832967303
714,2755711718,nigamjee3,Congress,0.33655519548719853
746,436385083,NIRUPAMACHARJE1,Congress,0.07089257330076087
753,3315311460,PrMksingh,Congress,0.10328573467123618
755,113843883,vivekt1801,Congress,0.0825396626774012
759,3944455453,bharatbkt,Congress,0.3742667881821624
763,1081265353676644353,KaleenBhaiya9,Congress,0.23633691139538376
821,47534480,TorontoDreams,Congress,0.04447883217419818
822,801355990998388736,rajurduteachers,Congress,0.5361761477678701
825,34553473,elakavya,Congress,0.04447883217419818
826,1554891072,bkrs100,Congress,0.0825396626774012
829,413161672,arun2809,Congress,0.09590276214117437
835,974912263483092994,Soundararajansm,Congress,0.10328573467123618
836,87882279,ganeshmahnar,Congress,0.07651310672792835
852,943370071732142080,Vasudev00411816,Congress,0.23633691139538376
855,762714933188591616,Satishrathod100,Congress,0.300816711527256
857,798717022976679937,RanjanaPareek3,Congress,0.13802618960216584
860,67835392,saket71,Congress,0.06565556198004287
862,29644952,pran_p,Congress,0.18207903130928815
866,303850033,FartVaderr,Congress,0.05624491210051878
867,928159188,bhavya1705,Congress,0.07089257330076087
875,270806903,rainaaditya,Congress,0.04447883217419818
882,565563822,jyotitiwari05,Congress,0.05624491210051878
887,925867807,Shubham_RI,Congress,0.19466773728450495
889,906188623430737920,Thoughtsbookcom,Congress,0.393746460000491
900,849889452805808129,AadithINC,Congress,0.14812070832967303
903,1045575004547469312,VjSingh80185619,Congress,0.14812070832967303
920,839204066,BeingAvdhesh,Congress,0.05624491210051878
928,1620295202,live_hemant,Congress,0.1285158337598371
931,3271831387,VeblrOfficial,Congress,0.1701324265302999
940,2904188772,mail_today,Congress,0.11116719108518804
942,78551037,iamrahulpoddar,Congress,0.06078011352084069
945,2757999959,abushaanu,Congress,0.10328573467123618
965,1497921954,iyer_rn,Congress,0.10328573467123618
972,829184069816745986,tamilnaadulive,Congress,0.5361761477678701
977,85523343,IshaSG,Congress,0.07651310672792835
979,957144044840210432,aginner_,Congress,0.23633691139538376
985,814046348135673856,BlackMirrorMonk,Congress,0.11116719108518804
987,940219650528370688,Nazeernsui,Congress,0.11116719108518804
988,137988591,9newz,Congress,0.6164280626387617
995,3837622858,vivekkumar01042,Congress,0.393746460000491
998,919028483745042432,report_real,Congress,0.11116719108518804
1001,2521074794,soumodiptoroyy,Congress,0.07651310672792835
1005,2595993960,AbdulKadirNSUI,Congress,0.3742667881821624
1010,1033772095300194304,MSSingh22873168,Congress,0.26734400306340506
1011,1044480521386975234,KumarSe72338987,Congress,0.413569897933165
1012,4185000153,gayathri_borker,Congress,0.28378247513569405
1014,2189892361,Sambad_English,Congress,0.14812070832967303
1020,3090181315,TheAMANPANDIT,Congress,0.13802618960216584
1022,866684427988078592,Bantilodhi78,Congress,0.11116719108518804
1025,1073283037889216513,Hitesh03840868,Congress,0.8468202684509261
1030,562900149,annatarajgowda,Congress,0.09590276214117437
1042,17507259,Sachinb,Congress,0.06078011352084069
